Kecamatan,UPT_Puskesmas,Cek_Tekanan_Darah_L,Cek_Tekanan_Darah_P,Hipertensi_L,Hipertensi_P
Sukasari,UPT Sukarasa,14,425,8,117
Sukajadi,UPT Sukajadi ,27,319,19,91
Cicendo,UPT Pasirkaliki,1924,7733,390,1503
Andir,UPT Garuda,154,524,40,75
Cidadap,UPT Ciumbuleuit ,1858,1681,927,790
Coblong,UPT Puter ,12,339,6,47
Bandung Wetan,UPT Salam,155,493,40,82
Sumur Bandung,UPT Tamblong,176,538,43,85
Cibeunying Kaler,UPT Neglasari ,931,731,276,233
Cibeunying Kidul,UPT Padasuka,68,142,34,71
Kiaracondong,UPT Babakan Sari,445,1830,45,278
Batununggal,UPT Ibrahim Aji ,736,1668,242,511
Lengkong,UPT Talagabodas,98,203,15,21
Regol,UPT Pasundan,100,452,32,118
Astanaanyar,UPT Pagarsih,1919,3977,62,171
Bojongloa Kaler,UPT Cetarip,1915,2592,365,372
Bojongloa Kidul,UPT Kopo,289,498,61,117
Babakan Ciparay,UPT Caringin,1273,1648,527,619
Bandung Kulon,UPT Cibuntu ,230,404,18,51
Antapani,UPT Griya Antapani,125,280,40,61
Mandalajati,UPT Sindangjaya,220,865,12,68
Arcamanik,UPT Arcamanik,23,144,5,39
Ujungberung,UPT Ujungberung Indah,428,1330,60,221
Cinambo,UPT Cinambo,225,719,62,169
Cibiru,UPT Cibiru ,77,987,19,158
Panyileukan,UPT Panghegar,134,198,28,56
Gedebage,UPT Riung Bandung,20,160,11,68
Rancasari,UPT Cipamokolan,1380,2709,176,226
Buahbatu,UPT Margahayu Raya,153,215,31,62
Bandung Kidul,UPT Kujangsari ,38,362,12,80
